user_id,platform,post_id,date,likes,comments,shares,views,followers,country,reach,impressions,content_type,sentiment_score
1,Facebook,101,10/1/2023,150,20,10,1000,5000,USA,2000,3000,Image,0.75
2,Instagram,102,10/2/2023,300,50,30,2500,10000,UK,5000,7000,Video,0.6
3,YouTube,103,10/3/2023,500,100,50,5000,20000,Canada,8000,10000,Image,0.85
4,Facebook,104,10/4/2023,200,30,15,1500,7000,USA,3000,4000,Text,0.5
5,Instagram,105,10/5/2023,400,60,40,3000,12000,UK,6000,8000,Video,0.7
6,YouTube,106,10/6/2023,1000,200,100,10000,30000,Canada,15000,20000,Video,0.9
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
